ablated_feature,feature_type,Accuracy,Precision,Recall,F1 Score,AUC,NPV,Specificity
interview_age,time_series,0.9612180871319904,0.4812146187146187,0.36368215118215114,0.3427250834573588,0.830614398283625,0.9743572457365386,0.985744229423726
KSADSintern,time_series,0.9623569676657511,0.20454545454545456,0.07332251082251083,0.0924062049062049,0.6626893852043683,0.9659998938930218,0.996056712835092
nihtbx_cryst_agecorrected,time_series,0.9568628939100808,0.4859848484848486,0.36461455211455207,0.368366292798111,0.8321737327473554,0.9747460595195339,0.9809814179817109
ACEs,time_series,0.9598224117345127,0.4375,0.3611929736929737,0.35191560126887284,0.8054656857769661,0.9738504775706602,0.9847765909522003
avgPFCthick_QA,time_series,0.9611618885683062,0.46731601731601735,0.322465034965035,0.3439941575205505,0.8349453292615201,0.9747314344136618,0.985226223035201
rsfmri_c_ngd_cgc_ngd_cgc_QA,time_series,0.9567491492445559,0.5265151515151515,0.3589160839160839,0.37732158124007653,0.8288521238115203,0.9748500768738982,0.9808373189199073
rsfmri_c_ngd_dt_ngd_dt_QA,time_series,0.9638373453343284,0.49813065722156635,0.3799533799533799,0.3746061937171563,0.844626885417311,0.9751445132568264,0.9877498990732548
rel_family_id,cross_feat,0.9589917588084188,0.5198051948051948,0.3793706293706294,0.3911420635558567,0.8314785584577604,0.9752589642595645,0.9827825735227904
demo_sex_v2,cross_feat,0.955547442675945,0.4501984126984127,0.31633366633366633,0.3306400832793795,0.8244628916337335,0.9738154921766015,0.9806553053393997
race_ethnicity,cross_feat,0.9571415516395021,0.446482683982684,0.37300616050616053,0.3564991177930029,0.839928375974134,0.9749124012967727,0.9811600886732652
acs_raked_propensity_score,cross_feat,0.9628145229525753,0.5311729936729938,0.3853979353979354,0.37485290315202346,0.8153716090821111,0.9752488181128222,0.9865160781815969
speechdelays,cross_feat,0.9624423775805231,0.4634199134199134,0.3549700299700299,0.352124253104059,0.8299728666213072,0.9746182141812579,0.9868454083119481
motordelays,cross_feat,0.9571452857353845,0.47409156500065597,0.38323343323343323,0.3724776976753261,0.8375528431215377,0.9750846797689338,0.980969611739274
fam_history_8_yes_no,cross_feat,0.962536971643264,0.47500000000000003,0.3504245754245754,0.35478033554981153,0.813157234055591,0.9742696176546782,0.9872819198276851
